player_name,game_id,kills,deaths,assists,adr,fk,fd,clutches,aces
mazin,1,20.0,15.0,10.0,161.0,3.0,1.0,1,0
artzin,1,18.0,15.0,9.0,139.0,7.0,0.0,0,0
ShahZaM,1,12.0,14.0,9.0,122.0,2.0,1.0,0,0
liazzi,1,13.0,14.0,5.0,126.0,0.0,2.0,0,0
Pa1nt,1,11.0,17.0,6.0,98.0,2.0,4.0,0,0
tex,1,20.0,15.0,2.0,179.0,3.0,3.0,1,0
Mazino,1,22.0,15.0,9.0,175.0,1.0,3.0,0,0
kiNgg,1,12.0,14.0,8.0,111.0,2.0,3.0,0,0
C0M,1,10.0,14.0,7.0,106.0,0.0,1.0,0,0
aspas,1,11.0,16.0,4.0,113.0,2.0,4.0,0,0
mazin,2,15.0,14.0,5.0,150.0,3.0,1.0,1,0
artzin,2,16.0,15.0,4.0,150.0,0.0,3.0,0,0
ShahZaM,2,11.0,15.0,5.0,127.0,1.0,3.0,1,0
Pa1nt,2,8.0,18.0,6.0,105.0,2.0,5.0,0,0
liazzi,2,8.0,16.0,1.0,80.0,1.0,1.0,0,0
kiNgg,2,22.0,10.0,8.0,210.0,4.0,0.0,0,0
aspas,2,21.0,8.0,4.0,179.0,5.0,1.0,1,0
C0M,2,17.0,13.0,5.0,156.0,2.0,0.0,1,0
Mazino,2,9.0,14.0,12.0,124.0,1.0,3.0,0,0
tex,2,9.0,13.0,3.0,104.0,1.0,3.0,0,0
zekken,3,22.0,14.0,7.0,222.0,7.0,4.0,0,0
Sacy,3,19.0,10.0,9.0,161.0,0.0,2.0,0,0
Zellsis,3,16.0,10.0,6.0,131.0,1.0,0.0,0,1
TenZ,3,13.0,13.0,14.0,127.0,1.0,1.0,0,0
johnqt,3,10.0,11.0,5.0,96.0,2.0,2.0,0,0
s0m,3,14.0,17.0,6.0,142.0,4.0,4.0,1,0
Ethan,3,14.0,15.0,10.0,121.0,3.0,0.0,0,0
Victor,3,11.0,17.0,5.0,116.0,2.0,6.0,0,0
FiNESSE,3,9.0,16.0,4.0,79.0,1.0,0.0,0,0
crashies,3,10.0,16.0,4.0,92.0,0.0,2.0,0,0
TenZ,4,23.0,16.0,10.0,140.0,4.0,2.0,0,0
zekken,4,24.0,19.0,14.0,206.0,5.0,4.0,0,0
Zellsis,4,21.0,14.0,16.0,138.0,1.0,1.0,2,0
Sacy,4,19.0,16.0,8.0,132.0,3.0,3.0,0,0
johnqt,4,15.0,17.0,4.0,108.0,1.0,2.0,0,0
Ethan,4,18.0,19.0,13.0,117.0,2.0,3.0,0,0
s0m,4,16.0,18.0,15.0,123.0,0.0,2.0,2,0
Victor,4,23.0,24.0,5.0,177.0,7.0,7.0,0,0
crashies,4,13.0,19.0,10.0,92.0,1.0,1.0,1,0
FiNESSE,4,12.0,22.0,4.0,100.0,2.0,1.0,1,0
Khalil,5,22.0,15.0,9.0,150.0,4.0,2.0,1,0
nzr,5,23.0,16.0,4.0,163.0,1.0,2.0,1,0
havoc,5,21.0,21.0,7.0,170.0,1.0,3.0,0,0
mwzera,5,18.0,22.0,5.0,128.0,5.0,4.0,0,0
xand,5,16.0,18.0,12.0,98.0,3.0,1.0,0,0
eeiu,5,19.0,18.0,6.0,154.0,0.0,0.0,1,0
Cryocells,5,23.0,21.0,2.0,137.0,3.0,4.0,0,1
Asuna,5,16.0,20.0,7.0,116.0,1.0,5.0,1,0
bang,5,17.0,19.0,6.0,133.0,6.0,3.0,0,0
Boostio,5,17.0,22.0,7.0,141.0,2.0,2.0,0,0
Khalil,6,31.0,17.0,10.0,172.0,1.0,3.0,1,0
nzr,6,24.0,19.0,20.0,147.0,1.0,1.0,0,0
havoc,6,18.0,19.0,3.0,116.0,1.0,3.0,1,0
mwzera,6,21.0,27.0,12.0,136.0,6.0,6.0,0,0
xand,6,14.0,22.0,7.0,106.0,1.0,7.0,1,0
Asuna,6,23.0,21.0,17.0,142.0,5.0,2.0,0,0
Boostio,6,21.0,21.0,9.0,148.0,1.0,2.0,1,0
eeiu,6,17.0,19.0,13.0,141.0,2.0,1.0,0,0
bang,6,20.0,21.0,12.0,109.0,4.0,3.0,0,0
Cryocells,6,23.0,26.0,8.0,153.0,8.0,2.0,0,0
Less,7,20.0,9.0,6.0,170.0,2.0,1.0,1,0
saadhak,7,20.0,15.0,7.0,188.0,3.0,4.0,0,0
cauanzin,7,17.0,13.0,8.0,146.0,0.0,4.0,0,0
tuyz,7,14.0,12.0,5.0,119.0,0.0,2.0,0,0
pANcada,7,11.0,11.0,9.0,76.0,2.0,2.0,0,0
jawgemo,7,19.0,18.0,7.0,207.0,8.0,1.0,0,0
supamen,7,20.0,16.0,4.0,165.0,1.0,2.0,0,0
NaturE,7,6.0,14.0,7.0,63.0,1.0,1.0,1,0
Derrek,7,7.0,16.0,7.0,65.0,1.0,0.0,0,0
Apoth,7,8.0,18.0,1.0,90.0,2.0,3.0,0,0
pANcada,8,12.0,13.0,9.0,126.0,1.0,3.0,0,0
Less,8,14.0,12.0,2.0,137.0,1.0,1.0,0,0
cauanzin,8,14.0,15.0,8.0,159.0,1.0,1.0,0,0
saadhak,8,11.0,16.0,5.0,135.0,2.0,5.0,0,0
tuyz,8,9.0,15.0,3.0,103.0,2.0,2.0,0,0
jawgemo,8,22.0,14.0,5.0,206.0,8.0,1.0,0,0
Derrek,8,15.0,10.0,8.0,126.0,1.0,0.0,0,0
Apoth,8,15.0,13.0,4.0,140.0,2.0,1.0,0,0
NaturE,8,9.0,12.0,12.0,101.0,1.0,2.0,0,0
supamen,8,10.0,11.0,10.0,82.0,0.0,3.0,3,0
tuyz,9,22.0,15.0,6.0,172.0,2.0,1.0,0,0
cauanzin,9,21.0,17.0,7.0,179.0,4.0,2.0,0,0
Less,9,17.0,15.0,5.0,122.0,1.0,3.0,0,0
saadhak,9,15.0,17.0,6.0,114.0,3.0,4.0,0,0
pANcada,9,12.0,14.0,6.0,114.0,1.0,3.0,0,0
Derrek,9,20.0,15.0,8.0,160.0,1.0,0.0,0,0
jawgemo,9,17.0,17.0,3.0,129.0,5.0,1.0,0,0
NaturE,9,13.0,16.0,5.0,118.0,4.0,1.0,1,0
supamen,9,20.0,21.0,2.0,129.0,2.0,7.0,1,0
Apoth,9,8.0,18.0,7.0,74.0,1.0,2.0,0,0
leaf,10,18.0,16.0,8.0,147.0,2.0,1.0,0,0
valyn,10,19.0,17.0,6.0,137.0,2.0,1.0,0,0
trent,10,16.0,14.0,4.0,119.0,2.0,3.0,0,0
JonahP,10,14.0,17.0,17.0,113.0,3.0,2.0,0,0
icy,10,16.0,16.0,6.0,104.0,2.0,6.0,0,0
Xeppaa,10,14.0,16.0,17.0,131.0,2.0,2.0,0,0
runi,10,15.0,14.0,13.0,142.0,0.0,0.0,1,0
OXY,10,22.0,18.0,2.0,145.0,6.0,3.0,0,0
moose,10,15.0,16.0,4.0,116.0,2.0,1.0,0,0
vanity,10,14.0,19.0,11.0,106.0,3.0,5.0,0,0
valyn,11,15.0,12.0,7.0,146.0,2.0,1.0,0,0
trent,11,11.0,13.0,5.0,108.0,2.0,2.0,0,1
leaf,11,11.0,15.0,3.0,135.0,1.0,3.0,0,0
JonahP,11,10.0,15.0,3.0,106.0,1.0,2.0,0,0
icy,11,9.0,15.0,6.0,104.0,2.0,2.0,0,0
runi,11,18.0,8.0,4.0,166.0,2.0,0.0,1,0
moose,11,13.0,8.0,5.0,156.0,1.0,1.0,1,0
OXY,11,14.0,14.0,3.0,142.0,6.0,4.0,0,0
Xeppaa,11,15.0,13.0,3.0,156.0,0.0,3.0,0,0
vanity,11,10.0,13.0,5.0,109.0,1.0,0.0,0,0
leaf,12,19.0,12.0,8.0,181.0,1.0,3.0,1,0
trent,12,15.0,11.0,6.0,125.0,2.0,1.0,0,0
JonahP,12,15.0,11.0,4.0,103.0,3.0,1.0,0,0
icy,12,14.0,13.0,5.0,123.0,1.0,0.0,0,0
valyn,12,11.0,14.0,8.0,106.0,6.0,3.0,0,0
vanity,12,21.0,16.0,7.0,176.0,3.0,2.0,0,0
OXY,12,18.0,16.0,7.0,167.0,3.0,3.0,1,0
runi,12,9.0,12.0,8.0,83.0,1.0,1.0,0,0
moose,12,7.0,14.0,1.0,80.0,0.0,2.0,0,0
Xeppaa,12,6.0,16.0,5.0,70.0,1.0,5.0,0,0
supamen,13,23.0,8.0,4.0,215.0,2.0,1.0,1,0
Apoth,13,18.0,8.0,12.0,158.0,2.0,4.0,0,0
jawgemo,13,18.0,10.0,8.0,200.0,2.0,0.0,0,0
Derrek,13,14.0,11.0,7.0,132.0,4.0,1.0,0,0
NaturE,13,10.0,11.0,6.0,116.0,1.0,1.0,0,0
nzr,13,16.0,17.0,2.0,186.0,1.0,1.0,0,0
Khalil,13,12.0,17.0,4.0,114.0,1.0,1.0,0,0
xand,13,7.0,16.0,6.0,87.0,1.0,2.0,1,0
mwzera,13,8.0,17.0,4.0,85.0,3.0,3.0,1,0
havoc,13,5.0,16.0,4.0,75.0,1.0,4.0,2,0
jawgemo,14,23.0,14.0,5.0,252.0,8.0,3.0,0,0
Derrek,14,15.0,10.0,10.0,185.0,1.0,0.0,0,0
NaturE,14,17.0,8.0,9.0,153.0,1.0,0.0,1,0
supamen,14,12.0,7.0,8.0,100.0,1.0,2.0,1,0
Apoth,14,8.0,10.0,5.0,84.0,0.0,1.0,0,0
havoc,14,14.0,14.0,1.0,130.0,1.0,4.0,1,1
nzr,14,13.0,14.0,5.0,144.0,1.0,0.0,0,0
Khalil,14,10.0,15.0,2.0,125.0,0.0,1.0,0,0
mwzera,14,9.0,16.0,5.0,109.0,4.0,4.0,0,0
xand,14,3.0,16.0,5.0,44.0,0.0,2.0,0,0
zekken,15,22.0,20.0,12.0,207.0,4.0,3.0,0,0
Zellsis,15,13.0,11.0,15.0,97.0,0.0,0.0,0,0
TenZ,15,21.0,16.0,6.0,160.0,3.0,5.0,0,1
johnqt,15,15.0,14.0,8.0,133.0,0.0,1.0,1,0
Sacy,15,15.0,17.0,8.0,100.0,3.0,5.0,0,0
Melser,15,19.0,15.0,6.0,133.0,3.0,3.0,1,0
heat,15,19.0,17.0,5.0,148.0,2.0,1.0,1,0
keznit,15,19.0,20.0,6.0,169.0,6.0,1.0,0,0
Klaus,15,12.0,18.0,4.0,97.0,2.0,3.0,0,0
Shyy,15,9.0,16.0,2.0,77.0,1.0,2.0,1,0
TenZ,16,18.0,13.0,4.0,115.0,3.0,1.0,1,0
zekken,16,19.0,19.0,4.0,172.0,4.0,5.0,0,0
Sacy,16,15.0,13.0,4.0,146.0,2.0,1.0,0,0
Zellsis,16,12.0,12.0,7.0,96.0,1.0,1.0,0,0
johnqt,16,11.0,16.0,6.0,111.0,2.0,3.0,0,0
keznit,16,20.0,16.0,3.0,162.0,5.0,2.0,0,0
heat,16,16.0,15.0,8.0,120.0,1.0,3.0,0,0
Melser,16,15.0,13.0,7.0,110.0,2.0,1.0,1,0
Shyy,16,14.0,15.0,8.0,115.0,1.0,3.0,0,0
Klaus,16,8.0,16.0,7.0,88.0,2.0,3.0,0,0
saadhak,17,19.0,11.0,14.0,182.0,2.0,1.0,1,0
tuyz,17,20.0,13.0,5.0,176.0,3.0,3.0,0,1
Less,17,16.0,11.0,4.0,122.0,3.0,1.0,0,0
pANcada,17,16.0,11.0,5.0,142.0,1.0,1.0,1,0
cauanzin,17,15.0,12.0,4.0,132.0,3.0,2.0,0,0
mazin,17,14.0,14.0,3.0,133.0,0.0,0.0,2,0
liazzi,17,13.0,16.0,11.0,117.0,1.0,2.0,1,0
rich,17,12.0,20.0,1.0,141.0,3.0,2.0,0,0
artzin,17,9.0,16.0,6.0,112.0,1.0,2.0,0,0
Palla,17,10.0,20.0,3.0,96.0,3.0,6.0,0,0
cauanzin,18,23.0,17.0,8.0,173.0,3.0,2.0,0,0
Less,18,19.0,17.0,7.0,144.0,2.0,1.0,0,0
pANcada,18,14.0,15.0,7.0,119.0,1.0,1.0,2,0
tuyz,18,11.0,19.0,3.0,85.0,1.0,3.0,0,0
saadhak,18,9.0,22.0,8.0,89.0,5.0,5.0,0,0
artzin,18,20.0,15.0,7.0,169.0,3.0,5.0,0,0
rich,18,22.0,16.0,5.0,164.0,1.0,1.0,0,0
mazin,18,13.0,10.0,8.0,96.0,0.0,0.0,1,0
liazzi,18,18.0,14.0,3.0,136.0,0.0,2.0,0,0
Palla,18,17.0,21.0,3.0,167.0,8.0,4.0,0,0
tuyz,19,21.0,10.0,1.0,145.0,1.0,2.0,1,0
Less,19,21.0,14.0,4.0,172.0,2.0,1.0,0,0
cauanzin,19,16.0,14.0,9.0,136.0,3.0,3.0,0,0
pANcada,19,10.0,13.0,8.0,93.0,0.0,2.0,0,0
saadhak,19,11.0,20.0,6.0,121.0,4.0,4.0,1,0
liazzi,19,16.0,14.0,8.0,139.0,1.0,0.0,0,0
artzin,19,18.0,17.0,3.0,144.0,3.0,3.0,0,0
mazin,19,9.0,15.0,7.0,90.0,1.0,1.0,0,0
Palla,19,18.0,18.0,3.0,146.0,6.0,4.0,0,0
rich,19,10.0,15.0,3.0,95.0,1.0,2.0,1,0
aspas,20,23.0,16.0,1.0,160.0,7.0,4.0,0,0
kiNgg,20,18.0,13.0,7.0,159.0,3.0,2.0,1,0
tex,20,17.0,15.0,11.0,130.0,1.0,2.0,0,0
Mazino,20,17.0,15.0,9.0,144.0,0.0,0.0,0,0
C0M,20,10.0,13.0,16.0,64.0,2.0,2.0,1,0
Boostio,20,20.0,17.0,6.0,164.0,1.0,1.0,1,0
eeiu,20,13.0,13.0,15.0,101.0,0.0,0.0,1,0
Asuna,20,17.0,20.0,7.0,153.0,5.0,3.0,0,0
Cryocells,20,13.0,19.0,9.0,121.0,1.0,3.0,0,0
bang,20,9.0,16.0,1.0,68.0,3.0,6.0,1,0
kiNgg,21,16.0,8.0,10.0,164.0,1.0,1.0,1,0
aspas,21,19.0,10.0,3.0,186.0,6.0,2.0,0,0
Mazino,21,17.0,9.0,9.0,168.0,1.0,0.0,0,0
tex,21,12.0,11.0,2.0,115.0,1.0,1.0,0,0
C0M,21,6.0,10.0,9.0,85.0,3.0,1.0,0,0
Asuna,21,10.0,13.0,10.0,133.0,1.0,1.0,0,0
eeiu,21,13.0,13.0,4.0,134.0,1.0,1.0,0,0
bang,21,11.0,15.0,10.0,128.0,0.0,3.0,0,0
Boostio,21,7.0,15.0,4.0,92.0,2.0,3.0,0,0
Cryocells,21,7.0,14.0,2.0,90.0,1.0,4.0,0,0
Ethan,22,18.0,18.0,4.0,182.0,4.0,2.0,0,0
s0m,22,13.0,16.0,10.0,149.0,0.0,2.0,0,0
crashies,22,9.0,12.0,6.0,79.0,1.0,1.0,1,0
Victor,22,13.0,17.0,6.0,119.0,3.0,4.0,1,0
FiNESSE,22,4.0,18.0,4.0,44.0,1.0,2.0,0,0
leaf,22,25.0,9.0,6.0,205.0,5.0,1.0,1,0
trent,22,21.0,14.0,9.0,196.0,1.0,2.0,0,0
icy,22,14.0,10.0,4.0,142.0,3.0,2.0,0,0
valyn,22,12.0,10.0,9.0,96.0,1.0,2.0,1,0
JonahP,22,9.0,14.0,8.0,92.0,1.0,2.0,0,0
Ethan,23,19.0,14.0,7.0,143.0,3.0,1.0,0,0
crashies,23,12.0,11.0,8.0,127.0,0.0,0.0,0,0
s0m,23,13.0,16.0,10.0,115.0,3.0,2.0,1,0
Victor,23,14.0,15.0,4.0,142.0,1.0,7.0,0,0
FiNESSE,23,9.0,20.0,6.0,96.0,2.0,2.0,0,0
JonahP,23,16.0,11.0,13.0,134.0,1.0,1.0,1,0
trent,23,17.0,16.0,7.0,160.0,4.0,2.0,0,0
valyn,23,13.0,13.0,9.0,135.0,1.0,0.0,2,0
leaf,23,15.0,14.0,3.0,141.0,3.0,3.0,0,0
icy,23,15.0,13.0,1.0,126.0,3.0,3.0,0,0
zekken,24,19.0,10.0,3.0,169.0,7.0,1.0,1,0
Zellsis,24,13.0,7.0,10.0,118.0,0.0,1.0,1,0
TenZ,24,13.0,9.0,8.0,130.0,1.0,1.0,0,0
johnqt,24,15.0,11.0,2.0,128.0,3.0,1.0,0,0
Sacy,24,8.0,9.0,9.0,92.0,1.0,2.0,0,0
moose,24,8.0,11.0,2.0,77.0,0.0,1.0,1,0
Xeppaa,24,10.0,13.0,7.0,117.0,2.0,1.0,0,0
runi,24,10.0,14.0,10.0,92.0,0.0,1.0,0,0
OXY,24,12.0,16.0,2.0,128.0,2.0,6.0,0,0
vanity,24,6.0,14.0,4.0,65.0,2.0,3.0,0,0
