player_name,game_id,kills,deaths,assists,adr,fk,fd,clutches,aces
Zellsis,25,18.0,11.0,4.0,152.0,0.0,2.0,0,0
zekken,25,21.0,14.0,3.0,192.0,9.0,4.0,0,0
johnqt,25,11.0,10.0,3.0,89.0,0.0,0.0,1,0
Sacy,25,10.0,12.0,10.0,104.0,1.0,3.0,0,0
TenZ,25,11.0,14.0,9.0,127.0,1.0,2.0,0,0
Xeppaa,25,17.0,13.0,8.0,147.0,3.0,1.0,0,0
vanity,25,15.0,14.0,6.0,141.0,2.0,4.0,0,0
moose,25,11.0,13.0,3.0,86.0,2.0,2.0,1,0
runi,25,10.0,15.0,5.0,104.0,1.0,1.0,0,0
OXY,25,6.0,16.0,5.0,77.0,2.0,2.0,0,0
Apoth,26,12.0,14.0,1.0,121.0,2.0,2.0,0,0
jawgemo,26,10.0,16.0,7.0,114.0,1.0,2.0,1,1
supamen,26,9.0,20.0,2.0,104.0,3.0,4.0,0,0
Derrek,26,6.0,14.0,2.0,71.0,0.0,2.0,0,0
NaturE,26,6.0,17.0,0.0,61.0,0.0,2.0,0,0
aspas,26,23.0,8.0,2.0,222.0,5.0,1.0,0,0
Mazino,26,21.0,10.0,7.0,196.0,4.0,3.0,0,0
kiNgg,26,16.0,7.0,8.0,169.0,1.0,0.0,0,0
C0M,26,14.0,8.0,4.0,156.0,0.0,1.0,0,0
tex,26,7.0,10.0,3.0,79.0,2.0,1.0,0,0
Derrek,27,23.0,16.0,5.0,192.0,1.0,2.0,1,0
supamen,27,19.0,19.0,4.0,156.0,4.0,5.0,0,0
NaturE,27,12.0,15.0,13.0,95.0,0.0,0.0,0,0
jawgemo,27,16.0,19.0,9.0,135.0,1.0,4.0,0,0
Apoth,27,10.0,19.0,9.0,120.0,2.0,4.0,1,0
aspas,27,25.0,17.0,5.0,200.0,4.0,2.0,0,0
Mazino,27,20.0,14.0,11.0,134.0,3.0,1.0,1,0
kiNgg,27,17.0,12.0,13.0,130.0,2.0,1.0,1,0
C0M,27,11.0,17.0,10.0,121.0,2.0,2.0,0,0
tex,27,15.0,20.0,8.0,112.0,4.0,2.0,0,0
pANcada,28,28.0,13.0,5.0,208.0,2.0,3.0,1,0
cauanzin,28,20.0,18.0,6.0,155.0,5.0,1.0,1,0
saadhak,28,15.0,16.0,5.0,137.0,3.0,7.0,0,0
tuyz,28,13.0,15.0,11.0,99.0,0.0,1.0,0,0
Less,28,13.0,17.0,2.0,116.0,1.0,1.0,0,0
mwzera,28,25.0,19.0,7.0,184.0,5.0,2.0,0,0
Khalil,28,18.0,16.0,7.0,141.0,2.0,2.0,1,0
havoc,28,15.0,18.0,3.0,134.0,2.0,2.0,0,0
nzr,28,12.0,16.0,4.0,105.0,0.0,0.0,2,0
xand,28,9.0,20.0,9.0,82.0,4.0,5.0,0,0
cauanzin,29,24.0,16.0,3.0,160.0,1.0,2.0,1,0
pANcada,29,20.0,17.0,4.0,163.0,4.0,1.0,1,0
Less,29,18.0,19.0,6.0,175.0,4.0,2.0,0,0
tuyz,29,11.0,17.0,5.0,105.0,1.0,3.0,0,0
saadhak,29,9.0,19.0,12.0,96.0,1.0,4.0,0,0
havoc,29,22.0,15.0,5.0,198.0,4.0,4.0,0,0
nzr,29,22.0,16.0,8.0,181.0,1.0,0.0,0,0
Khalil,29,12.0,14.0,8.0,100.0,1.0,0.0,1,0
xand,29,15.0,16.0,7.0,100.0,2.0,4.0,0,0
mwzera,29,17.0,21.0,3.0,137.0,4.0,3.0,0,0
saadhak,30,12.0,18.0,8.0,152.0,3.0,3.0,1,0
Less,30,13.0,15.0,3.0,102.0,2.0,2.0,0,0
tuyz,30,18.0,17.0,9.0,137.0,2.0,2.0,0,0
pANcada,30,10.0,16.0,10.0,87.0,0.0,1.0,1,0
cauanzin,30,10.0,18.0,1.0,95.0,4.0,3.0,0,0
mwzera,30,29.0,12.0,6.0,251.0,4.0,2.0,0,0
Khalil,30,20.0,10.0,12.0,153.0,2.0,3.0,0,0
havoc,30,17.0,14.0,6.0,146.0,5.0,2.0,0,0
nzr,30,8.0,13.0,15.0,100.0,0.0,3.0,0,0
xand,30,10.0,14.0,9.0,66.0,0.0,1.0,0,0
rich,31,17.0,13.0,2.0,178.0,3.0,0.0,1,0
Palla,31,14.0,16.0,1.0,141.0,4.0,3.0,0,0
mazin,31,7.0,14.0,6.0,95.0,1.0,3.0,1,0
liazzi,31,6.0,16.0,5.0,70.0,1.0,0.0,0,0
artzin,31,5.0,17.0,2.0,69.0,1.0,2.0,0,0
Boostio,31,20.0,9.0,2.0,209.0,2.0,3.0,1,0
eeiu,31,17.0,9.0,3.0,183.0,1.0,0.0,0,0
Asuna,31,12.0,8.0,9.0,124.0,1.0,2.0,0,0
bang,31,12.0,11.0,2.0,116.0,3.0,1.0,0,0
Cryocells,31,15.0,12.0,1.0,126.0,1.0,4.0,0,0
Palla,32,15.0,16.0,5.0,155.0,4.0,4.0,0,0
artzin,32,12.0,16.0,8.0,111.0,1.0,0.0,1,0
liazzi,32,13.0,16.0,4.0,129.0,3.0,4.0,0,0
mazin,32,7.0,14.0,6.0,79.0,0.0,2.0,1,0
rich,32,7.0,16.0,3.0,65.0,1.0,0.0,0,0
eeiu,32,26.0,5.0,6.0,201.0,2.0,0.0,3,0
bang,32,15.0,13.0,10.0,154.0,4.0,4.0,0,0
Boostio,32,13.0,12.0,16.0,133.0,1.0,0.0,0,0
Asuna,32,12.0,12.0,6.0,117.0,3.0,4.0,0,0
Cryocells,32,12.0,13.0,8.0,123.0,0.0,1.0,0,0
Ethan,33,25.0,16.0,4.0,193.0,6.0,1.0,0,0
s0m,33,18.0,17.0,8.0,146.0,2.0,1.0,1,0
Victor,33,18.0,16.0,4.0,140.0,3.0,6.0,0,0
crashies,33,12.0,14.0,8.0,103.0,0.0,2.0,0,0
FiNESSE,33,7.0,14.0,3.0,73.0,0.0,0.0,0,0
Melser,33,20.0,17.0,11.0,187.0,2.0,1.0,0,0
Shyy,33,16.0,14.0,9.0,116.0,1.0,2.0,3,0
heat,33,16.0,17.0,6.0,141.0,3.0,2.0,1,0
keznit,33,17.0,17.0,8.0,174.0,3.0,4.0,0,0
mta,33,8.0,15.0,4.0,67.0,1.0,2.0,1,0
s0m,34,22.0,11.0,10.0,183.0,1.0,0.0,0,0
FiNESSE,34,18.0,12.0,6.0,162.0,2.0,1.0,0,0
crashies,34,14.0,12.0,3.0,139.0,1.0,0.0,1,0
Victor,34,16.0,15.0,2.0,137.0,5.0,5.0,0,0
Ethan,34,14.0,17.0,10.0,131.0,5.0,1.0,0,0
Shyy,34,15.0,15.0,5.0,136.0,0.0,0.0,0,0
Melser,34,16.0,16.0,4.0,127.0,3.0,3.0,0,0
heat,34,15.0,18.0,6.0,143.0,0.0,4.0,0,0
mta,34,11.0,17.0,5.0,108.0,1.0,0.0,0,0
keznit,34,10.0,18.0,2.0,85.0,3.0,7.0,0,0
crashies,35,19.0,11.0,9.0,181.0,3.0,0.0,1,0
s0m,35,14.0,12.0,9.0,125.0,3.0,0.0,0,0
Victor,35,18.0,15.0,1.0,169.0,7.0,3.0,0,0
Ethan,35,11.0,12.0,11.0,100.0,0.0,1.0,1,0
FiNESSE,35,12.0,13.0,5.0,102.0,2.0,1.0,2,0
keznit,35,20.0,14.0,5.0,187.0,3.0,3.0,0,0
heat,35,15.0,15.0,11.0,128.0,1.0,5.0,0,0
Shyy,35,13.0,14.0,2.0,137.0,0.0,1.0,0,0
Melser,35,9.0,15.0,0.0,86.0,1.0,3.0,0,0
mta,35,6.0,17.0,4.0,59.0,0.0,3.0,0,0
valyn,36,11.0,15.0,6.0,112.0,1.0,2.0,1,0
JonahP,36,8.0,14.0,2.0,90.0,3.0,2.0,0,0
icy,36,10.0,16.0,2.0,122.0,3.0,4.0,0,0
leaf,36,9.0,16.0,4.0,124.0,0.0,1.0,0,0
trent,36,7.0,15.0,3.0,76.0,0.0,1.0,1,0
keznit,36,24.0,9.0,2.0,249.0,4.0,0.0,0,0
Melser,36,17.0,8.0,6.0,173.0,2.0,5.0,1,0
heat,36,13.0,9.0,9.0,118.0,1.0,1.0,1,0
mta,36,10.0,9.0,7.0,108.0,3.0,0.0,0,0
Shyy,36,12.0,10.0,1.0,119.0,0.0,1.0,0,0
JonahP,37,27.0,20.0,20.0,132.0,3.0,2.0,2,0
trent,37,22.0,21.0,15.0,157.0,1.0,5.0,1,0
leaf,37,22.0,25.0,6.0,157.0,4.0,5.0,0,0
valyn,37,16.0,22.0,12.0,114.0,2.0,2.0,1,0
icy,37,23.0,24.0,7.0,148.0,2.0,4.0,0,0
keznit,37,29.0,21.0,7.0,163.0,7.0,1.0,0,0
Melser,37,23.0,21.0,11.0,145.0,3.0,2.0,1,0
heat,37,19.0,20.0,15.0,113.0,4.0,3.0,0,0
Shyy,37,27.0,24.0,3.0,157.0,2.0,3.0,0,0
mta,37,14.0,24.0,15.0,112.0,2.0,3.0,0,0
JonahP,38,15.0,10.0,7.0,143.0,3.0,0.0,2,0
valyn,38,20.0,13.0,4.0,190.0,2.0,1.0,1,0
icy,38,16.0,12.0,4.0,151.0,1.0,5.0,0,0
trent,38,11.0,11.0,7.0,103.0,0.0,1.0,1,0
leaf,38,11.0,13.0,7.0,137.0,3.0,2.0,1,0
Shyy,38,15.0,12.0,4.0,174.0,1.0,2.0,0,0
Melser,38,15.0,14.0,5.0,146.0,1.0,1.0,1,0
keznit,38,13.0,15.0,4.0,157.0,3.0,5.0,0,0
mta,38,9.0,16.0,10.0,94.0,4.0,0.0,0,0
heat,38,7.0,16.0,8.0,85.0,0.0,1.0,0,0
pANcada,39,18.0,16.0,15.0,146.0,4.0,1.0,2,0
Less,39,15.0,18.0,5.0,99.0,2.0,1.0,0,0
cauanzin,39,17.0,21.0,6.0,142.0,4.0,2.0,0,0
tuyz,39,13.0,19.0,3.0,111.0,3.0,5.0,0,0
saadhak,39,8.0,17.0,10.0,68.0,0.0,2.0,0,0
C0M,39,23.0,14.0,8.0,164.0,5.0,1.0,0,0
tex,39,22.0,16.0,5.0,162.0,1.0,3.0,0,0
kiNgg,39,18.0,12.0,11.0,112.0,1.0,1.0,0,0
Mazino,39,16.0,14.0,15.0,133.0,0.0,4.0,0,0
aspas,39,12.0,15.0,9.0,107.0,4.0,4.0,0,0
cauanzin,40,17.0,14.0,3.0,170.0,4.0,2.0,0,0
tuyz,40,10.0,16.0,9.0,101.0,2.0,1.0,0,0
Less,40,11.0,16.0,2.0,105.0,2.0,1.0,0,0
saadhak,40,9.0,17.0,8.0,91.0,2.0,3.0,0,0
pANcada,40,10.0,18.0,0.0,89.0,1.0,1.0,0,0
aspas,40,25.0,12.0,3.0,230.0,4.0,5.0,0,0
tex,40,20.0,11.0,2.0,159.0,1.0,2.0,1,0
kiNgg,40,16.0,10.0,3.0,134.0,1.0,2.0,1,0
Mazino,40,15.0,13.0,6.0,136.0,1.0,1.0,0,0
C0M,40,5.0,11.0,5.0,66.0,1.0,1.0,1,0
artzin,41,24.0,16.0,1.0,175.0,2.0,3.0,1,0
liazzi,41,15.0,17.0,9.0,114.0,0.0,1.0,1,0
rich,41,16.0,19.0,7.0,120.0,2.0,3.0,0,0
Palla,41,12.0,19.0,5.0,136.0,3.0,6.0,0,0
mazin,41,9.0,19.0,2.0,80.0,3.0,0.0,1,0
Khalil,41,23.0,14.0,10.0,172.0,2.0,0.0,0,0
havoc,41,23.0,14.0,5.0,184.0,4.0,3.0,0,0
xand,41,18.0,17.0,19.0,142.0,4.0,1.0,0,0
mwzera,41,19.0,18.0,8.0,167.0,3.0,5.0,0,0
nzr,41,7.0,13.0,6.0,76.0,0.0,1.0,1,0
artzin,42,18.0,15.0,3.0,159.0,4.0,1.0,1,0
rich,42,15.0,17.0,6.0,139.0,2.0,4.0,1,0
Palla,42,15.0,17.0,0.0,117.0,2.0,3.0,1,0
mazin,42,8.0,15.0,5.0,84.0,1.0,1.0,0,0
liazzi,42,6.0,17.0,2.0,67.0,0.0,2.0,0,0
Khalil,42,24.0,12.0,6.0,215.0,2.0,1.0,0,0
mwzera,42,19.0,12.0,2.0,161.0,5.0,0.0,0,0
nzr,42,16.0,13.0,4.0,151.0,1.0,1.0,0,0
havoc,42,12.0,12.0,5.0,129.0,3.0,4.0,1,0
xand,42,10.0,13.0,3.0,90.0,0.0,3.0,0,0
Ethan,43,15.0,7.0,10.0,132.0,0.0,1.0,0,0
Victor,43,14.0,8.0,2.0,159.0,3.0,4.0,0,0
s0m,43,14.0,7.0,7.0,149.0,2.0,1.0,0,0
FiNESSE,43,13.0,10.0,4.0,109.0,2.0,0.0,0,0
crashies,43,8.0,9.0,4.0,118.0,2.0,1.0,0,0
Xeppaa,43,9.0,14.0,8.0,162.0,1.0,1.0,0,0
runi,43,8.0,11.0,1.0,83.0,0.0,1.0,0,0
vanity,43,10.0,14.0,3.0,134.0,2.0,3.0,0,0
moose,43,6.0,10.0,1.0,68.0,2.0,0.0,0,0
OXY,43,8.0,15.0,3.0,106.0,2.0,4.0,0,0
s0m,44,18.0,15.0,6.0,145.0,1.0,3.0,1,0
FiNESSE,44,17.0,17.0,12.0,161.0,0.0,0.0,0,0
Ethan,44,14.0,18.0,13.0,135.0,1.0,1.0,1,0
crashies,44,13.0,17.0,8.0,113.0,1.0,3.0,0,0
Victor,44,16.0,21.0,3.0,121.0,8.0,5.0,0,0
OXY,44,33.0,17.0,4.0,234.0,7.0,2.0,0,0
vanity,44,18.0,13.0,8.0,133.0,3.0,4.0,2,0
moose,44,13.0,16.0,4.0,128.0,1.0,1.0,1,0
Xeppaa,44,16.0,15.0,5.0,120.0,1.0,4.0,1,0
runi,44,8.0,17.0,9.0,85.0,0.0,0.0,0,0
s0m,45,24.0,18.0,16.0,160.0,4.0,1.0,0,0
Ethan,45,16.0,16.0,10.0,118.0,1.0,2.0,1,0
FiNESSE,45,15.0,21.0,12.0,120.0,5.0,2.0,0,0
Victor,45,18.0,17.0,5.0,119.0,4.0,4.0,0,0
crashies,45,16.0,16.0,10.0,101.0,0.0,3.0,0,0
vanity,45,21.0,19.0,9.0,164.0,3.0,3.0,0,0
OXY,45,23.0,20.0,3.0,165.0,4.0,4.0,0,0
moose,45,17.0,15.0,5.0,117.0,3.0,1.0,1,0
runi,45,21.0,19.0,6.0,133.0,2.0,4.0,0,0
Xeppaa,45,6.0,16.0,9.0,57.0,0.0,2.0,0,0
Derrek,46,15.0,18.0,10.0,118.0,0.0,1.0,0,0
jawgemo,46,20.0,19.0,7.0,156.0,5.0,7.0,0,0
supamen,46,19.0,16.0,6.0,129.0,1.0,2.0,0,0
NaturE,46,12.0,17.0,8.0,91.0,1.0,2.0,0,0
Apoth,46,11.0,16.0,4.0,104.0,1.0,3.0,2,0
eeiu,46,20.0,15.0,10.0,159.0,1.0,0.0,1,0
Asuna,46,20.0,16.0,10.0,173.0,5.0,2.0,1,0
Boostio,46,16.0,17.0,4.0,132.0,2.0,2.0,0,0
bang,46,12.0,14.0,6.0,116.0,2.0,3.0,0,0
Cryocells,46,18.0,15.0,5.0,109.0,5.0,1.0,0,0
NaturE,47,19.0,16.0,11.0,143.0,2.0,3.0,1,0
supamen,47,19.0,14.0,6.0,149.0,2.0,1.0,0,0
Derrek,47,14.0,14.0,9.0,109.0,2.0,1.0,0,0
Apoth,47,17.0,17.0,13.0,125.0,3.0,1.0,1,0
jawgemo,47,15.0,19.0,4.0,145.0,4.0,4.0,0,0
eeiu,47,18.0,17.0,15.0,165.0,1.0,0.0,0,0
bang,47,24.0,17.0,8.0,164.0,1.0,5.0,0,0
Cryocells,47,13.0,15.0,9.0,93.0,0.0,1.0,2,0
Asuna,47,14.0,17.0,5.0,110.0,6.0,7.0,0,0
Boostio,47,11.0,18.0,14.0,87.0,2.0,0.0,0,0
Derrek,48,20.0,14.0,5.0,155.0,2.0,0.0,1,0
supamen,48,15.0,16.0,7.0,130.0,2.0,3.0,0,0
NaturE,48,15.0,18.0,8.0,136.0,2.0,1.0,0,0
Apoth,48,6.0,17.0,2.0,105.0,1.0,4.0,0,0
jawgemo,48,6.0,19.0,5.0,97.0,0.0,5.0,0,0
Cryocells,48,25.0,13.0,1.0,199.0,7.0,2.0,0,0
eeiu,48,19.0,9.0,5.0,161.0,2.0,1.0,0,0
Asuna,48,14.0,13.0,24.0,132.0,2.0,1.0,1,0
bang,48,14.0,12.0,12.0,137.0,1.0,1.0,0,0
Boostio,48,12.0,15.0,6.0,138.0,1.0,2.0,0,0
