game_id,player_name,agent,team_abrev,map,kills,deaths,assists,adr,fk,fd,clutches,aces
0,mazin,Omen,MIBR,Ascent,20.0,15.0,10.0,161.0,3.0,1.0,1,0
0,artzin,Yoru,MIBR,Ascent,18.0,15.0,9.0,139.0,7.0,0.0,0,0
0,ShahZaM,Sova,MIBR,Ascent,12.0,14.0,9.0,122.0,2.0,1.0,0,0
0,liazzi,Killjoy,MIBR,Ascent,13.0,14.0,5.0,126.0,0.0,2.0,0,0
0,Pa1nt,Iso,MIBR,Ascent,11.0,17.0,6.0,98.0,2.0,4.0,0,0
0,tex,Killjoy,LEV,Ascent,20.0,15.0,2.0,179.0,3.0,3.0,1,0
0,Mazino,Kayo,LEV,Ascent,22.0,15.0,9.0,175.0,1.0,3.0,0,0
0,kiNgg,Omen,LEV,Ascent,12.0,14.0,8.0,111.0,2.0,3.0,0,0
0,C0M,Sova,LEV,Ascent,10.0,14.0,7.0,106.0,0.0,1.0,0,0
0,aspas,Jett,LEV,Ascent,11.0,16.0,4.0,113.0,2.0,4.0,0,0
1,tex,Killjoy,LEV,Icebox,9.0,13.0,3.0,104.0,1.0,3.0,0,0
1,Mazino,Kayo,LEV,Icebox,9.0,14.0,12.0,124.0,1.0,3.0,0,0
1,kiNgg,Omen,LEV,Icebox,22.0,10.0,8.0,210.0,4.0,0.0,0,0
1,C0M,Sova,LEV,Icebox,17.0,13.0,5.0,156.0,2.0,0.0,1,0
1,aspas,Jett,LEV,Icebox,21.0,8.0,4.0,179.0,5.0,1.0,1,0
1,mazin,Omen,MIBR,Icebox,15.0,14.0,5.0,150.0,3.0,1.0,1,0
1,artzin,Yoru,MIBR,Icebox,16.0,15.0,4.0,150.0,0.0,3.0,0,0
1,ShahZaM,Sova,MIBR,Icebox,11.0,15.0,5.0,127.0,1.0,3.0,1,0
1,liazzi,Killjoy,MIBR,Icebox,8.0,16.0,1.0,80.0,1.0,1.0,0,0
1,Pa1nt,Iso,MIBR,Icebox,8.0,18.0,6.0,105.0,2.0,5.0,0,0
2,zekken,Raze,SEN,Lotus,22.0,14.0,7.0,222.0,7.0,4.0,0,0
2,Sacy,Fade,SEN,Lotus,19.0,10.0,9.0,161.0,0.0,2.0,0,0
2,Zellsis,Cypher,SEN,Lotus,16.0,10.0,6.0,131.0,1.0,0.0,0,1
2,TenZ,Omen,SEN,Lotus,13.0,13.0,14.0,127.0,1.0,1.0,0,0
2,johnqt,Deadlock,SEN,Lotus,10.0,11.0,5.0,96.0,2.0,2.0,0,0
2,s0m,Clove,NRG,Lotus,14.0,17.0,6.0,142.0,4.0,4.0,1,0
2,Ethan,Breach,NRG,Lotus,14.0,15.0,10.0,121.0,3.0,0.0,0,0
2,Victor,Neon,NRG,Lotus,11.0,17.0,5.0,116.0,2.0,6.0,0,0
2,FiNESSE,Cypher,NRG,Lotus,9.0,16.0,4.0,79.0,1.0,0.0,0,0
2,crashies,Gekko,NRG,Lotus,10.0,16.0,4.0,92.0,0.0,2.0,0,0
3,s0m,Clove,NRG,Sunset,16.0,18.0,15.0,123.0,0.0,2.0,2,0
3,Ethan,Breach,NRG,Sunset,18.0,19.0,13.0,117.0,2.0,3.0,0,0
3,Victor,Neon,NRG,Sunset,23.0,24.0,5.0,177.0,7.0,7.0,0,0
3,FiNESSE,Cypher,NRG,Sunset,12.0,22.0,4.0,100.0,2.0,1.0,1,0
3,crashies,Gekko,NRG,Sunset,13.0,19.0,10.0,92.0,1.0,1.0,1,0
3,zekken,Raze,SEN,Sunset,24.0,19.0,14.0,206.0,5.0,4.0,0,0
3,Zellsis,Cypher,SEN,Sunset,21.0,14.0,16.0,138.0,1.0,1.0,2,0
3,TenZ,Omen,SEN,Sunset,23.0,16.0,10.0,140.0,4.0,2.0,0,0
3,Sacy,Fade,SEN,Sunset,19.0,16.0,8.0,132.0,3.0,3.0,0,0
3,johnqt,Deadlock,SEN,Sunset,15.0,17.0,4.0,108.0,1.0,2.0,0,0
4,Khalil,Viper,FUR,Icebox,22.0,15.0,9.0,150.0,4.0,2.0,1,0
4,nzr,Sova,FUR,Icebox,23.0,16.0,4.0,163.0,1.0,2.0,1,0
4,havoc,Killjoy,FUR,Icebox,21.0,21.0,7.0,170.0,1.0,3.0,0,0
4,mwzera,Jett,FUR,Icebox,18.0,22.0,5.0,128.0,5.0,4.0,0,0
4,xand,Sage,FUR,Icebox,16.0,18.0,12.0,98.0,3.0,1.0,0,0
4,eeiu,Sova,100T,Icebox,19.0,18.0,6.0,154.0,0.0,0.0,1,0
4,Cryocells,Jett,100T,Icebox,23.0,21.0,2.0,137.0,3.0,4.0,0,1
4,Asuna,Gekko,100T,Icebox,16.0,20.0,7.0,116.0,1.0,5.0,1,0
4,bang,Viper,100T,Icebox,17.0,19.0,6.0,133.0,6.0,3.0,0,0
4,Boostio,Killjoy,100T,Icebox,17.0,22.0,7.0,141.0,2.0,2.0,0,0
5,eeiu,Sova,100T,Haven,17.0,19.0,13.0,141.0,2.0,1.0,0,0
5,Cryocells,Jett,100T,Haven,23.0,26.0,8.0,153.0,8.0,2.0,0,0
5,Asuna,Gekko,100T,Haven,23.0,21.0,17.0,142.0,5.0,2.0,0,0
5,bang,Viper,100T,Haven,20.0,21.0,12.0,109.0,4.0,3.0,0,0
5,Boostio,Killjoy,100T,Haven,21.0,21.0,9.0,148.0,1.0,2.0,1,0
5,Khalil,Viper,FUR,Haven,31.0,17.0,10.0,172.0,1.0,3.0,1,0
5,nzr,Sova,FUR,Haven,24.0,19.0,20.0,147.0,1.0,1.0,0,0
5,havoc,Killjoy,FUR,Haven,18.0,19.0,3.0,116.0,1.0,3.0,1,0
5,mwzera,Jett,FUR,Haven,21.0,27.0,12.0,136.0,6.0,6.0,0,0
5,xand,Sage,FUR,Haven,14.0,22.0,7.0,106.0,1.0,7.0,1,0
6,Less,Cypher,LOUD,Lotus,20.0,9.0,6.0,170.0,2.0,1.0,1,0
6,saadhak,Neon,LOUD,Lotus,20.0,15.0,7.0,188.0,3.0,4.0,0,0
6,cauanzin,Fade,LOUD,Lotus,17.0,13.0,8.0,146.0,0.0,4.0,0,0
6,tuyz,Gekko,LOUD,Lotus,14.0,12.0,5.0,119.0,0.0,2.0,0,0
6,pANcada,Omen,LOUD,Lotus,11.0,11.0,9.0,76.0,2.0,2.0,0,0
6,jawgemo,Iso,EG,Lotus,19.0,18.0,7.0,207.0,8.0,1.0,0,0
6,supamen,Omen,EG,Lotus,20.0,16.0,4.0,165.0,1.0,2.0,0,0
6,NaturE,Breach,EG,Lotus,6.0,14.0,7.0,63.0,1.0,1.0,1,0
6,Derrek,Fade,EG,Lotus,7.0,16.0,7.0,65.0,1.0,0.0,0,0
6,Apoth,Cypher,EG,Lotus,8.0,18.0,1.0,90.0,2.0,3.0,0,0
7,jawgemo,Iso,EG,Sunset,22.0,14.0,5.0,206.0,8.0,1.0,0,0
7,supamen,Omen,EG,Sunset,10.0,11.0,10.0,82.0,0.0,3.0,3,0
7,NaturE,Breach,EG,Sunset,9.0,12.0,12.0,101.0,1.0,2.0,0,0
7,Derrek,Fade,EG,Sunset,15.0,10.0,8.0,126.0,1.0,0.0,0,0
7,Apoth,Cypher,EG,Sunset,15.0,13.0,4.0,140.0,2.0,1.0,0,0
7,Less,Cypher,LOUD,Sunset,14.0,12.0,2.0,137.0,1.0,1.0,0,0
7,cauanzin,not found,LOUD,Sunset,14.0,15.0,8.0,159.0,1.0,1.0,0,0
7,saadhak,Neon,LOUD,Sunset,11.0,16.0,5.0,135.0,2.0,5.0,0,0
7,tuyz,Gekko,LOUD,Sunset,9.0,15.0,3.0,103.0,2.0,2.0,0,0
7,pANcada,Omen,LOUD,Sunset,12.0,13.0,9.0,126.0,1.0,3.0,0,0
8,Less,Cypher,LOUD,Sunset,17.0,15.0,5.0,122.0,1.0,3.0,0,0
8,cauanzin,not found,LOUD,Sunset,21.0,17.0,7.0,179.0,4.0,2.0,0,0
8,saadhak,Neon,LOUD,Sunset,15.0,17.0,6.0,114.0,3.0,4.0,0,0
8,tuyz,Gekko,LOUD,Sunset,22.0,15.0,6.0,172.0,2.0,1.0,0,0
8,pANcada,Omen,LOUD,Sunset,12.0,14.0,6.0,114.0,1.0,3.0,0,0
8,jawgemo,Iso,EG,Sunset,17.0,17.0,3.0,129.0,5.0,1.0,0,0
8,Derrek,Fade,EG,Sunset,20.0,15.0,8.0,160.0,1.0,0.0,0,0
8,supamen,Omen,EG,Sunset,20.0,21.0,2.0,129.0,2.0,7.0,1,0
8,NaturE,Breach,EG,Sunset,13.0,16.0,5.0,118.0,4.0,1.0,1,0
8,Apoth,Cypher,EG,Sunset,8.0,18.0,7.0,74.0,1.0,2.0,0,0
9,leaf,Killjoy,G2,Ascent,18.0,16.0,8.0,147.0,2.0,1.0,0,0
9,valyn,Omen,G2,Ascent,19.0,17.0,6.0,137.0,2.0,1.0,0,0
9,trent,Sova,G2,Ascent,16.0,14.0,4.0,119.0,2.0,3.0,0,0
9,JonahP,Kayo,G2,Ascent,14.0,17.0,17.0,113.0,3.0,2.0,0,0
9,icy,Neon,G2,Ascent,16.0,16.0,6.0,104.0,2.0,6.0,0,0
9,Xeppaa,Kayo,C9,Ascent,14.0,16.0,17.0,131.0,2.0,2.0,0,0
9,runi,Sova,C9,Ascent,15.0,14.0,13.0,142.0,0.0,0.0,1,0
9,OXY,Jett,C9,Ascent,22.0,18.0,2.0,145.0,6.0,3.0,0,0
9,moose,Killjoy,C9,Ascent,15.0,16.0,4.0,116.0,2.0,1.0,0,0
9,vanity,Omen,C9,Ascent,14.0,19.0,11.0,106.0,3.0,5.0,0,0
10,Xeppaa,Kayo,C9,Icebox,15.0,13.0,3.0,156.0,0.0,3.0,0,0
10,runi,Sova,C9,Icebox,18.0,8.0,4.0,166.0,2.0,0.0,1,0
10,OXY,Jett,C9,Icebox,14.0,14.0,3.0,142.0,6.0,4.0,0,0
10,moose,Killjoy,C9,Icebox,13.0,8.0,5.0,156.0,1.0,1.0,1,0
10,vanity,Omen,C9,Icebox,10.0,13.0,5.0,109.0,1.0,0.0,0,0
10,leaf,Killjoy,G2,Icebox,11.0,15.0,3.0,135.0,1.0,3.0,0,0
10,valyn,Omen,G2,Icebox,15.0,12.0,7.0,146.0,2.0,1.0,0,0
10,trent,Sova,G2,Icebox,11.0,13.0,5.0,108.0,2.0,2.0,0,1
10,JonahP,Kayo,G2,Icebox,10.0,15.0,3.0,106.0,1.0,2.0,0,0
10,icy,not found,G2,Icebox,9.0,15.0,6.0,104.0,2.0,2.0,0,0
11,leaf,Killjoy,G2,Icebox,19.0,12.0,8.0,181.0,1.0,3.0,1,0
11,valyn,Omen,G2,Icebox,11.0,14.0,8.0,106.0,6.0,3.0,0,0
11,trent,Sova,G2,Icebox,15.0,11.0,6.0,125.0,2.0,1.0,0,0
11,JonahP,Kayo,G2,Icebox,15.0,11.0,4.0,103.0,3.0,1.0,0,0
11,icy,not found,G2,Icebox,14.0,13.0,5.0,123.0,1.0,0.0,0,0
11,runi,Sova,C9,Icebox,9.0,12.0,8.0,83.0,1.0,1.0,0,0
11,OXY,not found,C9,Icebox,18.0,16.0,7.0,167.0,3.0,3.0,1,0
11,moose,Killjoy,C9,Icebox,7.0,14.0,1.0,80.0,0.0,2.0,0,0
11,vanity,Omen,C9,Icebox,21.0,16.0,7.0,176.0,3.0,2.0,0,0
11,Xeppaa,Kayo,C9,Icebox,6.0,16.0,5.0,70.0,1.0,5.0,0,0
12,supamen,Omen,EG,Bind,23.0,8.0,4.0,215.0,2.0,1.0,1,0
12,Apoth,Brimstone,EG,Bind,18.0,8.0,12.0,158.0,2.0,4.0,0,0
12,jawgemo,Raze,EG,Bind,18.0,10.0,8.0,200.0,2.0,0.0,0,0
12,Derrek,Gekko,EG,Bind,14.0,11.0,7.0,132.0,4.0,1.0,0,0
12,NaturE,Skye,EG,Bind,10.0,11.0,6.0,116.0,1.0,1.0,0,0
12,nzr,Gekko,FUR,Bind,16.0,17.0,2.0,186.0,1.0,1.0,0,0
12,Khalil,Brimstone,FUR,Bind,12.0,17.0,4.0,114.0,1.0,1.0,0,0
12,xand,Fade,FUR,Bind,7.0,16.0,6.0,87.0,1.0,2.0,1,0
12,mwzera,Raze,FUR,Bind,8.0,17.0,4.0,85.0,3.0,3.0,1,0
12,havoc,Viper,FUR,Bind,5.0,16.0,4.0,75.0,1.0,4.0,2,0
13,nzr,Gekko,FUR,Lotus,13.0,14.0,5.0,144.0,1.0,0.0,0,0
13,Khalil,Brimstone,FUR,Lotus,10.0,15.0,2.0,125.0,0.0,1.0,0,0
13,xand,Fade,FUR,Lotus,3.0,16.0,5.0,44.0,0.0,2.0,0,0
13,mwzera,Raze,FUR,Lotus,9.0,16.0,5.0,109.0,4.0,4.0,0,0
13,havoc,Viper,FUR,Lotus,14.0,14.0,1.0,130.0,1.0,4.0,1,1
13,supamen,Omen,EG,Lotus,12.0,7.0,8.0,100.0,1.0,2.0,1,0
13,jawgemo,Raze,EG,Lotus,23.0,14.0,5.0,252.0,8.0,3.0,0,0
13,Apoth,Brimstone,EG,Lotus,8.0,10.0,5.0,84.0,0.0,1.0,0,0
13,Derrek,Gekko,EG,Lotus,15.0,10.0,10.0,185.0,1.0,0.0,0,0
13,NaturE,Skye,EG,Lotus,17.0,8.0,9.0,153.0,1.0,0.0,1,0
14,zekken,Raze,SEN,Lotus,22.0,20.0,12.0,207.0,4.0,3.0,0,0
14,Zellsis,Breach,SEN,Lotus,13.0,11.0,15.0,97.0,0.0,0.0,0,0
14,TenZ,Omen,SEN,Lotus,21.0,16.0,6.0,160.0,3.0,5.0,0,1
14,johnqt,Cypher,SEN,Lotus,15.0,14.0,8.0,133.0,0.0,1.0,1,0
14,Sacy,Fade,SEN,Lotus,15.0,17.0,8.0,100.0,3.0,5.0,0,0
14,Melser,Omen,KRÜ,Lotus,19.0,15.0,6.0,133.0,3.0,3.0,1,0
14,heat,Fade,KRÜ,Lotus,19.0,17.0,5.0,148.0,2.0,1.0,1,0
14,keznit,Raze,KRÜ,Lotus,19.0,20.0,6.0,169.0,6.0,1.0,0,0
14,Klaus,Viper,KRÜ,Lotus,12.0,18.0,4.0,97.0,2.0,3.0,0,0
14,Shyy,Killjoy,KRÜ,Lotus,9.0,16.0,2.0,77.0,1.0,2.0,1,0
15,Melser,Omen,KRÜ,Split,15.0,13.0,7.0,110.0,2.0,1.0,1,0
15,heat,Fade,KRÜ,Split,16.0,15.0,8.0,120.0,1.0,3.0,0,0
15,keznit,Raze,KRÜ,Split,20.0,16.0,3.0,162.0,5.0,2.0,0,0
15,Klaus,Viper,KRÜ,Split,8.0,16.0,7.0,88.0,2.0,3.0,0,0
15,Shyy,Killjoy,KRÜ,Split,14.0,15.0,8.0,115.0,1.0,3.0,0,0
15,zekken,Raze,SEN,Split,19.0,19.0,4.0,172.0,4.0,5.0,0,0
15,TenZ,Omen,SEN,Split,18.0,13.0,4.0,115.0,3.0,1.0,1,0
15,Zellsis,Breach,SEN,Split,12.0,12.0,7.0,96.0,1.0,1.0,0,0
15,Sacy,Fade,SEN,Split,15.0,13.0,4.0,146.0,2.0,1.0,0,0
15,johnqt,Cypher,SEN,Split,11.0,16.0,6.0,111.0,2.0,3.0,0,0
16,saadhak,Kayo,LOUD,Ascent,19.0,11.0,14.0,182.0,2.0,1.0,1,0
16,tuyz,Jett,LOUD,Ascent,20.0,13.0,5.0,176.0,3.0,3.0,0,1
16,Less,Cypher,LOUD,Ascent,16.0,11.0,4.0,122.0,3.0,1.0,0,0
16,pANcada,Omen,LOUD,Ascent,16.0,11.0,5.0,142.0,1.0,1.0,1,0
16,cauanzin,Sova,LOUD,Ascent,15.0,12.0,4.0,132.0,3.0,2.0,0,0
16,mazin,Omen,MIBR,Ascent,14.0,14.0,3.0,133.0,0.0,0.0,2,0
16,liazzi,Kayo,MIBR,Ascent,13.0,16.0,11.0,117.0,1.0,2.0,1,0
16,rich,Sova,MIBR,Ascent,12.0,20.0,1.0,141.0,3.0,2.0,0,0
16,artzin,Killjoy,MIBR,Ascent,9.0,16.0,6.0,112.0,1.0,2.0,0,0
16,Palla,Jett,MIBR,Ascent,10.0,20.0,3.0,96.0,3.0,6.0,0,0
17,mazin,Omen,MIBR,Lotus,13.0,10.0,8.0,96.0,0.0,0.0,1,0
17,liazzi,Kayo,MIBR,Lotus,18.0,14.0,3.0,136.0,0.0,2.0,0,0
17,rich,Sova,MIBR,Lotus,22.0,16.0,5.0,164.0,1.0,1.0,0,0
17,artzin,Killjoy,MIBR,Lotus,20.0,15.0,7.0,169.0,3.0,5.0,0,0
17,Palla,Jett,MIBR,Lotus,17.0,21.0,3.0,167.0,8.0,4.0,0,0
17,cauanzin,not found,LOUD,Lotus,23.0,17.0,8.0,173.0,3.0,2.0,0,0
17,Less,Cypher,LOUD,Lotus,19.0,17.0,7.0,144.0,2.0,1.0,0,0
17,tuyz,Jett,LOUD,Lotus,11.0,19.0,3.0,85.0,1.0,3.0,0,0
17,pANcada,Omen,LOUD,Lotus,14.0,15.0,7.0,119.0,1.0,1.0,2,0
17,saadhak,Kayo,LOUD,Lotus,9.0,22.0,8.0,89.0,5.0,5.0,0,0
18,cauanzin,not found,LOUD,Lotus,16.0,14.0,9.0,136.0,3.0,3.0,0,0
18,Less,Cypher,LOUD,Lotus,21.0,14.0,4.0,172.0,2.0,1.0,0,0
18,tuyz,Jett,LOUD,Lotus,21.0,10.0,1.0,145.0,1.0,2.0,1,0
18,pANcada,Omen,LOUD,Lotus,10.0,13.0,8.0,93.0,0.0,2.0,0,0
18,saadhak,Kayo,LOUD,Lotus,11.0,20.0,6.0,121.0,4.0,4.0,1,0
18,liazzi,not found,MIBR,Lotus,16.0,14.0,8.0,139.0,1.0,0.0,0,0
18,mazin,Omen,MIBR,Lotus,9.0,15.0,7.0,90.0,1.0,1.0,0,0
18,artzin,not found,MIBR,Lotus,18.0,17.0,3.0,144.0,3.0,3.0,0,0
18,rich,not found,MIBR,Lotus,10.0,15.0,3.0,95.0,1.0,2.0,1,0
18,Palla,Jett,MIBR,Lotus,18.0,18.0,3.0,146.0,6.0,4.0,0,0
19,aspas,Raze,LEV,Bind,23.0,16.0,1.0,160.0,7.0,4.0,0,0
19,kiNgg,Viper,LEV,Bind,18.0,13.0,7.0,159.0,3.0,2.0,1,0
19,tex,Gekko,LEV,Bind,17.0,15.0,11.0,130.0,1.0,2.0,0,0
19,Mazino,Brimstone,LEV,Bind,17.0,15.0,9.0,144.0,0.0,0.0,0,0
19,C0M,Fade,LEV,Bind,10.0,13.0,16.0,64.0,2.0,2.0,1,0
19,Boostio,Gekko,100T,Bind,20.0,17.0,6.0,164.0,1.0,1.0,1,0
19,eeiu,Fade,100T,Bind,13.0,13.0,15.0,101.0,0.0,0.0,1,0
19,Asuna,Raze,100T,Bind,17.0,20.0,7.0,153.0,5.0,3.0,0,0
19,Cryocells,Brimstone,100T,Bind,13.0,19.0,9.0,121.0,1.0,3.0,0,0
19,bang,Viper,100T,Bind,9.0,16.0,1.0,68.0,3.0,6.0,1,0
20,Boostio,Gekko,100T,Haven,7.0,15.0,4.0,92.0,2.0,3.0,0,0
20,eeiu,Fade,100T,Haven,13.0,13.0,4.0,134.0,1.0,1.0,0,0
20,Asuna,Raze,100T,Haven,10.0,13.0,10.0,133.0,1.0,1.0,0,0
20,Cryocells,Brimstone,100T,Haven,7.0,14.0,2.0,90.0,1.0,4.0,0,0
20,bang,Viper,100T,Haven,11.0,15.0,10.0,128.0,0.0,3.0,0,0
20,aspas,Raze,LEV,Haven,19.0,10.0,3.0,186.0,6.0,2.0,0,0
20,kiNgg,Viper,LEV,Haven,16.0,8.0,10.0,164.0,1.0,1.0,1,0
20,Mazino,Brimstone,LEV,Haven,17.0,9.0,9.0,168.0,1.0,0.0,0,0
20,tex,Gekko,LEV,Haven,12.0,11.0,2.0,115.0,1.0,1.0,0,0
20,C0M,Fade,LEV,Haven,6.0,10.0,9.0,85.0,3.0,1.0,0,0
21,Ethan,Yoru,NRG,Haven,18.0,18.0,4.0,182.0,4.0,2.0,0,0
21,s0m,Omen,NRG,Haven,13.0,16.0,10.0,149.0,0.0,2.0,0,0
21,crashies,Fade,NRG,Haven,9.0,12.0,6.0,79.0,1.0,1.0,1,0
21,Victor,Clove,NRG,Haven,13.0,17.0,6.0,119.0,3.0,4.0,1,0
21,FiNESSE,Deadlock,NRG,Haven,4.0,18.0,4.0,44.0,1.0,2.0,0,0
21,leaf,Killjoy,G2,Haven,25.0,9.0,6.0,205.0,5.0,1.0,1,0
21,trent,Sova,G2,Haven,21.0,14.0,9.0,196.0,1.0,2.0,0,0
21,icy,Jett,G2,Haven,14.0,10.0,4.0,142.0,3.0,2.0,0,0
21,valyn,Omen,G2,Haven,12.0,10.0,9.0,96.0,1.0,2.0,1,0
21,JonahP,Breach,G2,Haven,9.0,14.0,8.0,92.0,1.0,2.0,0,0
22,leaf,Killjoy,G2,Bind,15.0,14.0,3.0,141.0,3.0,3.0,0,0
22,trent,Sova,G2,Bind,17.0,16.0,7.0,160.0,4.0,2.0,0,0
22,icy,Jett,G2,Bind,15.0,13.0,1.0,126.0,3.0,3.0,0,0
22,valyn,Omen,G2,Bind,13.0,13.0,9.0,135.0,1.0,0.0,2,0
22,JonahP,Breach,G2,Bind,16.0,11.0,13.0,134.0,1.0,1.0,1,0
22,Ethan,Yoru,NRG,Bind,19.0,14.0,7.0,143.0,3.0,1.0,0,0
22,crashies,Fade,NRG,Bind,12.0,11.0,8.0,127.0,0.0,0.0,0,0
22,s0m,Omen,NRG,Bind,13.0,16.0,10.0,115.0,3.0,2.0,1,0
22,Victor,Clove,NRG,Bind,14.0,15.0,4.0,142.0,1.0,7.0,0,0
22,FiNESSE,Deadlock,NRG,Bind,9.0,20.0,6.0,96.0,2.0,2.0,0,0
23,zekken,Jett,SEN,Haven,19.0,10.0,3.0,169.0,7.0,1.0,1,0
23,Zellsis,Breach,SEN,Haven,13.0,7.0,10.0,118.0,0.0,1.0,1,0
23,TenZ,Omen,SEN,Haven,13.0,9.0,8.0,130.0,1.0,1.0,0,0
23,johnqt,Killjoy,SEN,Haven,15.0,11.0,2.0,128.0,3.0,1.0,0,0
23,Sacy,Sova,SEN,Haven,8.0,9.0,9.0,92.0,1.0,2.0,0,0
23,moose,Killjoy,C9,Haven,8.0,11.0,2.0,77.0,0.0,1.0,1,0
23,Xeppaa,Gekko,C9,Haven,10.0,13.0,7.0,117.0,2.0,1.0,0,0
23,runi,Breach,C9,Haven,10.0,14.0,10.0,92.0,0.0,1.0,0,0
23,OXY,Jett,C9,Haven,12.0,16.0,2.0,128.0,2.0,6.0,0,0
23,vanity,Omen,C9,Haven,6.0,14.0,4.0,65.0,2.0,3.0,0,0
24,moose,Killjoy,C9,Split,11.0,13.0,3.0,86.0,2.0,2.0,1,0
